,Unnamed: 0,level_0,index,pl_name,planet_status,pl_massj,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,pl_radj,radius_error_min,radius_error_max,pl_orbper,orbital_period_error_min,orbital_period_error_max,pl_orbsmax,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,sy_vmag,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,st_mass,star_mass_error_min,star_mass_error_max,st_rad,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,st_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_refname,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,ttv_flag,pl_imppar,pl_impparerr1,pl_impparerr2,pl_impparlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_trandurlim,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_ratdorlim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,pl_occdep,pl_occdeperr1,pl_occdeperr2,pl_occdeplim,pl_orbtper,pl_orbtpererr1,pl_orbtpererr2,pl_orbtperlim,pl_orblper,pl_orblpererr1,pl_orblpererr2,pl_orblperlim,pl_rvamp,pl_rvamperr1,pl_rvamperr2,pl_rvamplim,pl_projobliq,pl_projobliqerr1,pl_projobliqerr2,pl_projobliqlim,pl_trueobliq,pl_trueobliqerr1,pl_trueobliqerr2,pl_trueobliqlim,st_refname,st_spectype,st_tefferr1,st_tefferr2,st_tefflim,st_raderr1,st_raderr2,st_radlim,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_lum,st_lumerr1,st_lumerr2,st_lumlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_age,st_ageerr1,st_ageerr2,st_agelim,st_dens,st_denserr1,st_denserr2,st_denslim,st_vsin,st_vsinerr1,st_vsinerr2,st_vsinlim,st_rotp,st_rotperr1,st_rotperr2,st_rotplim,st_radv,st_radverr1,st_radverr2,st_radvlim,sy_refname,rastr,decstr,sy_pm,sy_pmerr1,sy_pmerr2,sy_pmra,sy_pmraerr1,sy_pmraerr2,sy_pmdec,sy_pmdecerr1,sy_pmdecerr2,sy_dist,sy_disterr1,sy_disterr2,sy_plx,sy_plxerr1,sy_plxerr2,sy_bmag,sy_bmagerr1,sy_bmagerr2,sy_vmagerr1,sy_vmagerr2,sy_jmag,sy_jmagerr1,sy_jmagerr2,sy_hmag,sy_hmagerr1,sy_hmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,sy_icmag,sy_icmagerr1,sy_icmagerr2,sy_tmag,sy_tmagerr1,sy_tmagerr2,sy_kepmag,sy_kepmagerr1,sy_kepmagerr2,rowupdate,pl_pubdate,releasedate,_merge,signal_percent
125,125,206,206,K2-113 b,Confirmed,1.28,0.12,0.12,,,,1.083,0.031,0.031,5.817685,4.1e-05,4.1e-05,0.0642,0.0009,0.0009,0.0,,,86.44,0.042,0.54,,2017.0,2021-02-05,,,,,,,2457398.70433,0.0003,0.0003,2457392.88588,0.00032,0.00032,,,,,,,0.72,0.04,0.03,,,,143.56,12.9,12.3,1098.0,23.0,23.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"2MASS J01174783+0652080 b, EPIC 220504338 b, EPIC 220504338.01, WISE J011747.84+065207.8 b",,K2-113,19.449286,6.868895,13.68,,12.347,11.998,,649.75,13.49,13.49,0.27,0.06,0.06,1.04,0.04,0.04,1.24,0.03,0.03,G,5.9,3.4,2.7,5660.0,87.0,87.0,,,"2MASS J01174783+0652080, EPIC 220504338, WISE J011747.84+065207.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.00623871751385667
128,128,209,209,K2-132 b,Confirmed,0.49,0.06,0.06,,,,1.3,0.07,0.07,9.1751,0.0027,0.0023,0.0916,0.0006,0.0006,0.29,0.049,0.049,77.56,0.51,0.47,,2017.0,2021-02-05,82.6,4.2,4.0,,,,2457590.1491,0.009,0.008,,,,,,,,,,0.848,0.008,0.007,,,,42.1,4.2,4.3,1586.0,10.0,10.0,,,,,,,Published in a refereed paper,Primary Transit,,,"K2-132 b, 2MASS J12083992-0844497 b, EPIC 228754001 b, EPIC 228754001.01, WISE J120839.91-084449.8 b",,K2-132,182.166397,-8.747175,,,10.153,9.637,,620.41,17.92,17.92,-0.01,0.08,0.08,1.08,0.08,0.08,3.85,0.13,0.13,K,8.5,-2.8,4.5,4840.0,90.0,90.0,,,"2MASS J12083992-0844497, EPIC 228754001, WISE J120839.91-084449.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.0036884511772798164
129,129,210,210,K2-140 b,Confirmed,0.93,0.04,0.04,,,,1.093,0.015,0.015,6.56918,4e-05,4e-05,0.0687,0.0005,0.0005,0.12,0.046,0.056,88.3,0.1,0.1,,2017.0,2021-02-05,98.88,4.16,3.85,,,,2457588.2851,0.0002,0.0002,2457588.28509,5e-05,5e-05,,,,,,,0.12,0.08,0.1,,,,104.1,2.7,2.7,957.0,11.0,11.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"K2-140 b, 2MASS J12323296-0936274 b, EPIC 228735255 b, EPIC 228735255.01, WISE J123232.95-093627.3 b",,K2-140,188.137344,-9.60764,12.6,,11.421,11.068,,341.6,5.1,5.5,0.13,0.04,0.04,1.0,0.02,0.02,0.99,0.01,0.01,G5,9.8,4.6,3.4,5705.0,48.0,50.0,,,"EPIC 228735255, WISE J123232.95-093627.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.012056064350754106
132,132,213,213,K2-19 b,Confirmed,0.1019,0.0053,0.0053,,,,0.691,0.035,0.035,7.9194,5e-05,5e-05,0.074,0.0012,0.0012,0.2,0.03,0.03,89.47,0.41,0.41,,2015.0,2021-02-05,179.0,52.0,52.0,,,,2456813.3837,0.0003,0.0003,,,,,,,,,,0.17,0.12,0.12,,,,,,,854.0,,,,,,,,,Published in a refereed paper,Primary Transit,Spectrum,Primary Transit,"2MASS J11395048+0036129 b, EPIC 201505350 b, EPIC 201505350.02, WISE J113950.46+003612.9 b",,K2-19,174.960312,0.603575,12.806,12.567,11.596,11.208,11.161,292.14,5.62,5.62,0.1,0.04,0.04,0.93,0.05,0.05,0.86,0.04,0.04,G9 V,8.0,,,5430.0,60.0,60.0,,,"EPIC 201505350, 2MASS J11395048+0036129, WISE J113950.46+003612.9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.03149196664366077
133,133,215,215,K2-238 b,Confirmed,0.86,0.12,0.13,,,,1.3,0.14,0.15,3.20466,3e-05,3e-05,0.046,0.006,0.007,0.0,,,84.5,1.5,1.8,,2018.0,2021-02-05,90.0,,,,,,2457740.5036,0.0004,0.0004,2457740.5036,0.0004,0.0004,,,,,,,,,,,,,100.0,10.0,10.0,1587.0,76.0,75.0,,,,,,,Published in a refereed paper,Primary Transit,,,"2MASS J23104905-0751270 b, EPIC 246067459 b, WISE J231049.06-075127.2 b",,K2-238,347.704346,-7.857499,13.75,,12.464,12.095,,453.0,46.0,72.0,0.34,0.04,0.04,1.19,0.08,0.08,1.59,0.16,0.16,G2 V,5.63,1.97,1.05,5630.0,78.0,78.0,,,"2MASS J23104905-0751270, EPIC 246067459, WISE J231049.06-075127.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.012997772462763955
135,135,217,217,K2-260 b,Confirmed,1.42,0.32,0.31,1.42,0.32,0.31,1.552,0.057,0.048,2.6266657,1.8e-06,2e-06,0.0404,0.0016,0.0013,0.0,,,88.67,1.0,0.89,,2018.0,2021-02-05,90.0,,,2457820.738135,9e-05,9e-05,2457820.738135,9e-05,9e-05,2457820.73813,9.8e-05,9.1e-05,,,,,,,0.122,0.082,0.09,,,,178.0,39.0,38.0,1957.0,77.0,78.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"EPIC 246911830 b, 2MASS J05072816+1652037 b, WISE J050728.15+165203.7 b",,K2-260,76.867325,16.867718,12.69,,11.4,11.189,,676.32,19.42,19.42,-0.14,0.15,0.15,1.39,0.06,0.06,1.69,0.03,0.03,F6 V,1.9,0.3,0.3,6367.0,250.0,250.0,,,"K2-260, 2MASS J05072816+1652037, EPIC 246911830, WISE J050728.15+165203.7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.014750422108242704
138,138,220,220,K2-29 b,Confirmed,0.73,0.04,0.04,0.73,0.04,0.04,1.19,0.02,0.02,3.2588321,1.9e-06,1.9e-06,0.04217,0.00024,0.00024,0.066,0.022,0.022,86.656,0.08,0.11,,2016.0,2021-02-05,132.0,21.0,21.0,,,,2453219.0095,0.0022,0.0022,2453219.0095,0.0022,0.0022,,,,1.5,8.7,8.7,0.58,0.02,0.02,,,,103.5,5.4,5.4,1171.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"EPIC 211089792 b, WASP-152 b, 1SWASP J041040.95+242407.3 b, 2MASS J04104086+2424061 b, EPIC 211089792 A b, EPIC 211089792.01, K2-29 A b, TYC 1818-1428-1 b, WISE J041040.88+242405.9 b",,K2-29,62.670647,24.402042,,,10.622,10.168,,179.39,1.31,1.31,0.16,0.03,0.03,0.94,0.02,0.02,0.86,0.01,0.01,G7 V,2.6,-1.2,1.2,5358.0,38.0,38.0,,,"WASP-152, EPIC 211089792, 1SWASP J041040.95+242407.3, 2MASS J04104086+2424061, EPIC 211089792 A, K2-29 A, TYC 1818-1428-1, WISE J041040.88+242405.9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.029347748437913428
139,139,221,221,K2-295 b,Confirmed,0.335,0.062,0.062,,,,0.897,0.005,0.011,4.024867,1.5e-05,1.5e-05,0.0451,0.0014,0.0006,0.0,,,89.3,0.62,0.46,,2018.0,2021-02-05,,,,,,,2457395.41405,1e-06,1e-06,2457395.4140458,1.9e-06,1.9e-06,,,,,,,0.17,0.11,0.14,,,,54.0,10.0,10.0,852.0,6.0,14.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"2MASS J01182635+0649004 b, EPIC 220501947 b, EPIC 220501947.01, WISE J011826.41+064900.3 b",,K2-295,19.6099,6.816871,13.95,,11.807,11.259,,225.7,2.4,2.4,0.14,0.12,0.12,0.74,0.04,0.04,0.7,0.02,0.02,K5 V,,,,4444.0,70.0,70.0,,,"2MASS 01182635+0649004, 2MASS J01182635+0649004, EPIC 220501947, WISE J011826.41+064900.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.02991401955319198
140,140,222,222,K2-30 b,Confirmed,0.579,0.027,0.028,0.623,0.031,0.031,1.039,0.051,0.05,4.098503,1.1e-05,1.1e-05,0.04839,0.00076,0.00076,0.0,,,86.92,0.24,0.26,,2016.0,2021-02-05,120.0,51.0,100.0,,,,2457063.80714,0.0001,0.0001,2457063.8071,0.00027,0.00027,,,,,,,0.662,0.036,0.03,,,,78.7,2.8,2.9,1092.0,20.0,19.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"2MASS J03292204+2217577 b, EPIC 210957318 b, EPIC 210957318.01, WISE J032922.08+221757.7 b",,K2-30,52.341961,22.299404,13.5,,11.632,11.19,,336.26,3.03,3.03,-0.15,0.05,0.05,0.9,0.04,0.04,0.84,0.03,0.03,G6 V,3.9,-1.9,2.1,5425.0,40.0,40.0,,,"2MASS J03292204+2217577, EPIC 210957318, WISE J032922.08+221757.7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.024114297420821933
142,142,225,225,K2-34 b,Confirmed,1.78,0.13,0.13,1.76,0.13,0.13,1.245,0.029,0.029,2.995633,8e-06,8e-06,0.0426,0.0005,0.0005,0.0,,,82.06,0.51,0.51,,2016.0,2021-02-05,,,,,,,2457144.34683,0.0001,0.0001,2457141.35132,0.00022,0.00022,,,,,,,0.81,0.01,0.01,,,,209.0,12.0,12.0,1559.0,30.0,30.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"2MASS J08301891+2214092 b, EPIC 212110888 b, EPIC 212110888.01, TYC 1391-121-1 b, WISE J083018.89+221409.2 b",,K2-34,127.578773,22.235909,11.5,,10.528,10.258,,352.34,6.25,6.25,0.03,0.05,0.05,1.15,0.04,0.04,1.44,0.03,0.03,F9 V,,,,6071.0,90.0,90.0,,,"2MASS J08301891+2214092, EPIC 212110888, TYC 1391-121-1, WISE J083018.89+221409.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.007171388970894858
143,143,226,226,K2-39 b,Confirmed,0.09,0.05,0.05,,,,0.56,0.15,0.15,4.60543,0.00046,0.00046,0.062,0.012,0.01,0.0,,,80.39,4.19,4.19,,2016.0,2021-02-05,,,,,,,,,,2456980.8236,0.0039,0.0039,,,,,,,0.57,0.2,0.15,,,,14.4,2.6,2.6,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"2MASS J22332842-0901219 b, EPIC 206247743 b, EPIC 206247743.01, TYC 5811-00835-1 b, WISE J223328.38-090122.4 b",,K2-39,338.368378,-9.022769,10.83,,9.082,8.594,,310.14,4.7,4.7,0.32,0.04,0.04,0.66,0.56,0.56,2.97,0.77,0.77,,3.09,0.7,0.92,4881.0,20.0,20.0,,,"2MASS J22332842-0901219, EPIC 206247743, TYC 5811-835-1, WISE J223328.38-090122.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.002904045338056706
145,145,229,229,K2-60 b,Confirmed,0.426,0.037,0.037,,,,0.683,0.037,0.037,3.00265,4e-05,4e-05,0.045,0.003,0.003,0.0,,,88.49,0.96,0.96,,2016.0,2021-02-05,,,,,,,2456928.0593,0.0007,0.0007,2456928.0593,0.0007,0.0007,,,,,,,0.21,0.13,0.13,,,,61.0,2.6,2.6,1400.0,50.0,50.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,EPIC 206038483.01,,K2-60,338.606171,-13.731702,,,11.41,11.085,10.99,498.7,11.44,11.44,0.01,0.11,0.11,0.97,0.07,0.07,1.12,0.05,0.05,G4 V,10.0,3.0,3.0,5500.0,100.0,100.0,,,"2MASS 22342548-134351, EPIC 22342548-13435, 2MASS J22342548-1343541, EPIC 206038483, WISE J223425.49-134354.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.0063574864370696165
146,146,230,230,K2-87 b,Confirmed,0.1192,0.04,0.04,,,,0.678,0.036,0.036,9.726618,5.5e-05,5.5e-05,0.094,0.001,0.001,,,,87.74,0.17,0.17,,2016.0,2021-02-05,,,,,,,2457072.30232,0.00171,0.00171,2457072.30232,0.00171,0.00171,,,,,,,0.57,0.03,0.03,,,,,,,979.0,28.0,28.0,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,EPIC 210731500.01,,K2-87,66.236221,18.827417,,,11.811,11.359,,503.6,22.0,30.0,0.328,0.045,0.051,1.16,0.04,0.04,1.4,0.062,0.083,,,,,5747.0,49.0,58.0,,,"2MASS J04245669+1849387, EPIC 210731500, WISE J042456.71+184938.6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.01149745119687304
147,147,231,231,K2-97 b,Confirmed,1.1,0.11,0.11,,,,0.947,0.085,0.085,8.406726,0.001827,0.001863,0.086,0.0011,0.0011,,,,,,,,2016.0,2021-02-05,,,,,,,2457142.04977,0.00854,0.00888,,,,,,,,,,0.44,0.3,0.33,,,,,,,1499.0,39.0,39.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"EPIC 211351816 b, 2MASS 08310308+1050513 b, 2MASS J08310308+1050513 b, EPIC 211351816.01, WISE J083103.08+105051.2 b",,K2-97,127.762833,10.847586,,,10.694,10.177,,869.76,31.37,31.37,0.33,0.04,0.04,1.2,0.05,0.05,4.47,0.18,0.18,,7.8,2.0,2.0,4717.0,73.0,73.0,,,"EPIC 211351816, 2MASS J08310308+1050513, WISE J083103.08+105051.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.0005106415498685647
148,148,232,232,KELT-1 b,Confirmed,27.23,0.48,0.5,,,,1.15,0.16,0.1,1.217514,1.5e-05,1.5e-05,0.02472,0.00039,0.00039,0.01,0.007,0.01,87.6,1.9,1.3,,2012.0,2018-08-15,61.0,71.0,79.0,2455914.08,0.25,0.25,,,,2455914.1628,0.0023,0.0023,2456181.40403,0.00075,0.00096,2.0,16.0,16.0,,,,,,,,,,2423.0,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,KELT-1,0.358333342,39.383611119,10.7,,,,,263.0,14.0,14.0,0.052,0.079,0.079,1.335,0.063,0.063,1.471,0.045,0.045,F5,1.75,0.25,0.25,6516.0,49.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.0005041818933685708
149,149,234,234,KELT-11 b,Confirmed,0.195,0.019,0.019,,,,1.3,0.12,0.18,4.736529,5.9e-05,6.8e-05,0.06229,0.00076,0.00088,0.0,,,85.8,1.8,2.4,,2016.0,2020-10-06,,,,,,,,,,2457440.8323,0.0036,0.0042,2457059.5415,0.0027,0.0027,,,,0.36,0.2,0.13,,,,18.5,1.7,1.7,1712.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,H2O,KELT-11,161.70833335,-9.399166687,8.0,,,,,98.0,5.0,5.0,0.18,0.075,0.075,1.438,0.052,0.061,2.72,0.17,0.21,G8,,,,5370.0,51.0,51.0,,,HD 93396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.020999586421439273
150,150,235,235,KELT-12 b,Confirmed,0.95,0.14,0.14,,,,1.79,0.17,0.18,5.0316144,3.06e-05,3.06e-05,0.0617,0.0013,0.00099,0.0,,,84.45,1.0,1.0,,2016.0,2019-05-30,,,,,,,,,,2456806.9319,0.0044,0.0044,,,,,,,0.587,0.086,62.0,,,,82.0,12.0,12.0,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,WASP-86 b,,WASP-86,267.640491678,36.5702194586,10.66,,,,,360.0,25.0,25.0,0.23,0.14,0.14,1.239,0.028,0.028,1.291,0.013,0.014,F7,0.8,0.4,0.8,6330.0,110.0,110.0,,,"KELT-12, 2MASS J17503372+3634128, TYC 2619-1057-1 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.04075780470759538
151,151,237,237,KELT-16 b,Confirmed,2.75,0.15,0.16,2.74,0.15,0.15,1.415,0.067,0.084,0.9689951,2e-06,2e-06,0.02044,0.00026,0.00024,,,,,,,,2016.0,2016-08-03,,,,,,,2457247.24791,0.00019,0.00019,,,,,,,,,,,,,,,,494.0,25.0,25.0,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit," TYC 2688-1839-1 b,  2MASS J20570443+3139397 b",,KELT-16,314.268479168,31.6609916885,11.9,,,,,365.0,20.0,20.0,-0.002,0.085,0.086,1.211,0.046,0.043,1.36,0.053,0.064,F7V,2.9,0.2,0.2,6236.0,54.0,54.0,,," TYC 2688-1839-1,  2MASS J20570443+3139397",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.011010256985690817
